program	PROGRAM	1
{	LBRACE	1
int	INT	2
result	ID	2
;	SEMICOLON	2
int	INT	3
array_1	ID	3
[	LSQRBRACE	3
4	NUM	3
]	RSQRBRACE	3
;	SEMICOLON	3
int	INT	4
array_2	ID	4
[	LSQRBRACE	4
4	NUM	4
]	RSQRBRACE	4
[	LSQRBRACE	4
4	NUM	4
]	RSQRBRACE	4
;	SEMICOLON	4
int	INT	5
array_3	ID	5
[	LSQRBRACE	5
4	NUM	5
]	RSQRBRACE	5
[	LSQRBRACE	5
4	NUM	5
]	RSQRBRACE	5
[	LSQRBRACE	5
4	NUM	5
]	RSQRBRACE	5
;	SEMICOLON	5
int	INT	6
array_4	ID	6
[	LSQRBRACE	6
4	NUM	6
]	RSQRBRACE	6
[	LSQRBRACE	6
4	NUM	6
]	RSQRBRACE	6
[	LSQRBRACE	6
4	NUM	6
]	RSQRBRACE	6
[	LSQRBRACE	6
4	NUM	6
]	RSQRBRACE	6
;	SEMICOLON	6
for	FOR	8
(	LPAREN	8
int	INT	8
i	ID	8
=	assignOp	8
0	NUM	8
;	SEMICOLON	8
i	ID	8
<	relOp	8
4	NUM	8
;	SEMICOLON	8
i	ID	8
=	assignOp	8
i	ID	8
+	addOp 	8
1	NUM	8
)	RPAREN	8
{	LBRACE	8
array_1	ID	9
[	LSQRBRACE	9
i	ID	9
]	RSQRBRACE	9
=	assignOp	9
i	ID	9
;	SEMICOLON	9
for	FOR	10
(	LPAREN	10
int	INT	10
j	ID	10
=	assignOp	10
0	NUM	10
;	SEMICOLON	10
j	ID	10
<	relOp	10
4	NUM	10
;	SEMICOLON	10
j	ID	10
=	assignOp	10
j	ID	10
+	addOp 	10
1	NUM	10
)	RPAREN	10
{	LBRACE	10
array_2	ID	11
[	LSQRBRACE	11
i	ID	11
]	RSQRBRACE	11
[	LSQRBRACE	11
j	ID	11
]	RSQRBRACE	11
=	assignOp	11
i	ID	11
+	addOp 	11
j	ID	11
;	SEMICOLON	11
for	FOR	12
(	LPAREN	12
int	INT	12
k	ID	12
=	assignOp	12
0	NUM	12
;	SEMICOLON	12
k	ID	12
<	relOp	12
4	NUM	12
;	SEMICOLON	12
k	ID	12
=	assignOp	12
k	ID	12
+	addOp 	12
1	NUM	12
)	RPAREN	12
{	LBRACE	12
array_3	ID	13
[	LSQRBRACE	13
i	ID	13
]	RSQRBRACE	13
[	LSQRBRACE	13
j	ID	13
]	RSQRBRACE	13
[	LSQRBRACE	13
k	ID	13
]	RSQRBRACE	13
=	assignOp	13
i	ID	13
+	addOp 	13
j	ID	13
+	addOp 	13
k	ID	13
;	SEMICOLON	13
for	FOR	14
(	LPAREN	14
int	INT	14
l	ID	14
=	assignOp	14
0	NUM	14
;	SEMICOLON	14
l	ID	14
<	relOp	14
4	NUM	14
;	SEMICOLON	14
l	ID	14
=	assignOp	14
l	ID	14
+	addOp 	14
1	NUM	14
)	RPAREN	14
array_4	ID	15
[	LSQRBRACE	15
i	ID	15
]	RSQRBRACE	15
[	LSQRBRACE	15
j	ID	15
]	RSQRBRACE	15
[	LSQRBRACE	15
k	ID	15
]	RSQRBRACE	15
[	LSQRBRACE	15
l	ID	15
]	RSQRBRACE	15
=	assignOp	15
i	ID	15
+	addOp 	15
j	ID	15
+	addOp 	15
k	ID	15
+	addOp 	15
l	ID	15
;	SEMICOLON	15
;	SEMICOLON	15
}	RBRACE	16
;	SEMICOLON	16
}	RBRACE	17
;	SEMICOLON	17
}	RBRACE	18
;	SEMICOLON	18
result	ID	20
=	assignOp	20
array_4	ID	20
[	LSQRBRACE	20
0	NUM	20
]	RSQRBRACE	20
[	LSQRBRACE	20
j	ID	20
-	addOp 	20
2	NUM	20
]	RSQRBRACE	20
[	LSQRBRACE	20
k	ID	20
-	addOp 	20
3	NUM	20
]	RSQRBRACE	20
[	LSQRBRACE	20
l	ID	20
-	addOp 	20
2	NUM	20
]	RSQRBRACE	20
+	addOp 	20
array_3	ID	20
[	LSQRBRACE	20
i	ID	20
-	addOp 	20
1	NUM	20
]	RSQRBRACE	20
[	LSQRBRACE	20
j	ID	20
-	addOp 	20
2	NUM	20
]	RSQRBRACE	20
[	LSQRBRACE	20
k	ID	20
-	addOp 	20
2	NUM	20
]	RSQRBRACE	20
+	addOp 	20
array_2	ID	20
[	LSQRBRACE	20
i	ID	20
-	addOp 	20
1	NUM	20
]	RSQRBRACE	20
[	LSQRBRACE	20
j	ID	20
-	addOp 	20
2	NUM	20
]	RSQRBRACE	20
+	addOp 	20
array_1	ID	20
[	LSQRBRACE	20
1	NUM	20
]	RSQRBRACE	20
;	SEMICOLON	20
put	PUT	21
(	LPAREN	21
result	ID	21
)	RPAREN	21
;	SEMICOLON	21
}	RBRACE	24
;	SEMICOLON	24
